,id,original_title,popularity,vote_average,vote_count
268,962,The Gold Rush,25.896,8.02,1450
269,14,American Beauty,47.774,8.02,11379
270,9277,The Sting,29.385,8.019,2369
271,673,Harry Potter and the Prisoner of Azkaban,193.694,8.019,20231
272,938,Per qualche dollaro in più,38.724,8.018,3612
273,521,Dial M for Murder,28.749,8.018,2374
274,110416,Song of the Sea,19.9,8.015,1308
275,1396,Зеркало,22.18,8.015,850
276,15,Citizen Kane,31.613,8.015,5102
277,20530,晩春,20.302,8.014,351
278,359724,Ford v Ferrari,65.264,8.012,7081
279,524,Casino,39.49,8.012,5322
280,429210,Bingo: O Rei das Manhãs,11.357,8.011,355
281,3175,Barry Lyndon,20.301,8.011,2580
282,447365,Guardians of the Galaxy Vol. 3,229.801,8.008,5333
283,28178,Hachi: A Dog's Tale,45.226,8.008,6285
284,455661,In a Heartbeat,7.124,8.007,966
285,205596,The Imitation Game,88.865,8.007,16105
286,568160,天気の子,43.847,8.0,2003
287,615457,Nobody,68.396,8.005,6322
288,28978,The Circus,13.493,8.005,713
289,11104,重慶森林,41.158,8.0,1566
290,12761,Höstsonaten,12.944,8.0,523
291,140420,Paperman,14.637,8.001,1629
292,28422,愛のむきだし,12.133,8.0,394
293,19426,Le notti di Cabiria,19.255,8.001,693
294,11778,The Deer Hunter,36.393,8.0,3454
295,9764,Дерсу Узала,19.758,8.0,467
296,595,To Kill a Mockingbird,25.302,8.0,2392
297,378108,この世界の片隅に,23.697,7.997,515
298,2517,誰も知らない,15.855,8.0,446
299,424694,Bohemian Rhapsody,52.473,7.995,16070
300,13223,Gran Torino,32.357,7.995,10095
301,315465,バケモノの子,23.941,7.994,1369
302,18438,김씨 표류기,17.742,7.994,621
303,530915,1917,45.203,7.992,11507
304,20453,3 Idiots,31.964,7.992,2184
305,554596,No Manches Frida 2,48.091,7.99,817
306,25376,El secreto de sus ojos,28.206,7.989,2326
307,980489,Gran Turismo,403.649,7.987,1478
308,213,North by Northwest,30.612,7.988,3786
309,634649,Spider-Man: No Way Home,334.796,7.985,18539
310,43949,Flipped,49.672,7.986,2703
311,916224,すずめの戸締まり,118.69,7.985,800
312,12104,Pink Floyd: The Wall,19.865,7.984,1370
313,947,Lawrence of Arabia,31.87,7.984,2727
314,7508,तारे ज़मीन पर,40.149,7.983,1058
315,961,The General,25.949,7.975,1101
316,488623,기억의 밤,18.697,7.974,938
317,961323,Nimona,54.325,7.977,592
318,414419,Kill Bill: The Whole Bloody Affair,20.949,7.973,917
319,15383,L'Armée des ombres,14.245,7.973,565
320,640,Catch Me If You Can,64.244,7.973,14551
321,862,Toy Story,116.66,7.97,17317
322,24,Kill Bill: Vol. 1,58.044,7.971,16332
323,11658,태극기 휘날리며,13.579,7.97,606
324,76,Before Sunrise,27.862,7.97,3776
325,14696,雨月物語,21.487,7.969,509
326,10515,天空の城ラピュタ,51.999,7.968,3802
327,770,Gone with the Wind,44.3,7.968,3739
328,627,Trainspotting,57.999,7.969,9097
329,3090,The Treasure of the Sierra Madre,27.744,7.968,1086
330,19542,The Red Shoes,19.04,7.966,580
331,776503,CODA,56.603,7.964,1960
332,1580,Rope,27.263,7.963,2424
